Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
2017.0,Nick Collison,36.0,208.0,115.0,Iowa,Orange City,University of Kansas,OKC,PF,2328652.0,20.0,0.0,33.0,128.0,12.8,0.348,0.3,0.1,0.4,0.0,14.0,23.0,0.0,1.0,14.0,22.0,5.0,8.0,9.0,21.0,30.0,12.0,2.0,2.0,4.0,17.0
2017.0,Luol Deng,31.0,206.0,99.0,South Sudan,Wow,Duke University,LAL,SF,17190000.0,56.0,49.0,425.0,1486.0,10.1,0.149,0.1,0.8,0.9,-0.2,164.0,424.0,51.0,165.0,113.0,259.0,46.0,63.0,63.0,232.0,295.0,74.0,48.0,20.0,43.0,61.0
2017.0,Devin Harris,33.0,190.0,87.0,Wisconsin,Milwaukee,University of Wisconsin,DAL,PG,4402546.0,65.0,0.0,437.0,1087.0,13.8,0.37799999999999995,1.1,1.1,2.2,0.4,136.0,341.0,58.0,177.0,78.0,164.0,107.0,129.0,11.0,116.0,127.0,136.0,43.0,7.0,57.0,101.0
2017.0,Dwight Howard,31.0,211.0,120.0,Georgia,Atlanta,Unknown,ATL,C,23500000.0,74.0,74.0,1002.0,2199.0,20.8,0.6920000000000001,3.8,4.5,8.3,2.4,388.0,613.0,0.0,2.0,388.0,611.0,226.0,424.0,296.0,644.0,940.0,104.0,64.0,92.0,170.0,203.0
2017.0,Kris Humphries,31.0,206.0,106.0,Minnesota,Minneapolis,University of Minnesota,ATL,PF,2328652.0,56.0,4.0,257.0,689.0,13.6,0.38299999999999995,0.6,1.1,1.6,-0.1,87.0,214.0,19.0,54.0,68.0,160.0,64.0,82.0,60.0,146.0,206.0,29.0,15.0,21.0,28.0,69.0
2017.0,Andre Iguodala,33.0,198.0,97.0,Illinois,Springfield,University of Arizona,GSW,SF,14814815.0,76.0,0.0,574.0,1998.0,14.4,0.24600000000000002,4.1,2.9,6.9,2.5,219.0,415.0,64.0,177.0,155.0,238.0,72.0,102.0,51.0,253.0,304.0,262.0,76.0,39.0,58.0,97.0
2017.0,Al Jefferson,32.0,208.0,131.0,Mississippi,Monticello,Unknown,IND,C,9769821.0,66.0,1.0,535.0,931.0,18.9,0.18,1.2,1.1,2.3,-0.3,235.0,471.0,0.0,1.0,235.0,470.0,65.0,85.0,75.0,203.0,278.0,57.0,19.0,16.0,33.0,125.0
2017.0,Shaun Livingston,31.0,201.0,87.0,Illinois,Peoria,Unknown,GSW,PG,7692308.0,76.0,3.0,389.0,1345.0,10.1,0.19,1.1,1.6,2.6,0.0,173.0,316.0,1.0,3.0,172.0,313.0,42.0,60.0,28.0,123.0,151.0,139.0,38.0,20.0,61.0,120.0
2017.0,Jameer Nelson,34.0,183.0,86.0,Pennsylvania,Chester,Saint Joseph's University,DEN,PG,4736050.0,75.0,39.0,687.0,2045.0,11.4,0.10400000000000001,2.3,0.5,2.8,0.0,268.0,604.0,106.0,273.0,162.0,331.0,45.0,63.0,28.0,164.0,192.0,385.0,53.0,8.0,129.0,197.0
2017.0,J.R. Smith,31.0,188.0,86.0,Unknown,Unknown,Unknown,CLE,SG,13760000.0,41.0,35.0,351.0,1187.0,8.1,0.042,0.1,0.8,0.8,0.2,123.0,356.0,95.0,271.0,28.0,85.0,10.0,15.0,17.0,96.0,113.0,62.0,40.0,11.0,26.0,77.0
